Problem,Observations,Goals,Real Goal
blocks-world/10/block-words-aaai_p01_hyp-0_10_0,1,21,0
blocks-world/10/block-words-aaai_p01_hyp-1_10_0,1,21,1
blocks-world/10/block-words-aaai_p01_hyp-2_10_0,1,21,2
blocks-world/10/block-words-aaai_p01_hyp-3_10_0,1,21,5
blocks-world/10/block-words-aaai_p01_hyp-4_10_0,1,21,5
blocks-world/10/block-words-aaai_p02_hyp-0_10_0,1,20,0
blocks-world/10/block-words-aaai_p02_hyp-1_10_0,2,20,1
blocks-world/10/block-words-aaai_p02_hyp-2_10_0,1,21,5
blocks-world/10/block-words-aaai_p02_hyp-3_10_0,1,21,5
blocks-world/10/block-words-aaai_p02_hyp-4_10_0,1,21,5
blocks-world/10/block-words-aaai_p03_hyp-0_10_0,2,20,0
blocks-world/10/block-words-aaai_p03_hyp-1_10_0,2,20,1
blocks-world/10/block-words-aaai_p03_hyp-2_10_0,1,21,5
blocks-world/10/block-words-aaai_p03_hyp-3_10_0,1,20,3
blocks-world/10/block-words-aaai_p03_hyp-4_10_0,1,20,4
blocks-world/10/block-words_p01_hyp-0_10_0,1,21,0
blocks-world/10/block-words_p01_hyp-0_10_1,1,21,0
blocks-world/10/block-words_p01_hyp-0_10_2,1,21,0
blocks-world/10/block-words_p01_hyp-10_10_0,1,21,10
blocks-world/10/block-words_p01_hyp-10_10_1,1,21,10
blocks-world/10/block-words_p01_hyp-10_10_2,1,21,10
blocks-world/10/block-words_p01_hyp-11_10_0,1,21,11
blocks-world/10/block-words_p01_hyp-11_10_1,1,21,7
blocks-world/10/block-words_p01_hyp-11_10_2,1,21,11
blocks-world/10/block-words_p01_hyp-12_10_0,1,21,12
blocks-world/10/block-words_p01_hyp-12_10_1,1,21,3
blocks-world/10/block-words_p01_hyp-12_10_2,1,21,12
blocks-world/10/block-words_p01_hyp-13_10_0,1,21,13
blocks-world/10/block-words_p01_hyp-13_10_1,1,21,12
blocks-world/10/block-words_p01_hyp-13_10_2,1,21,13
blocks-world/10/block-words_p01_hyp-14_10_0,1,21,18
blocks-world/10/block-words_p01_hyp-14_10_1,1,21,14
blocks-world/10/block-words_p01_hyp-14_10_2,1,21,14
blocks-world/10/block-words_p01_hyp-15_10_0,2,21,15
blocks-world/10/block-words_p01_hyp-15_10_1,1,21,7
blocks-world/10/block-words_p01_hyp-15_10_2,2,21,15
blocks-world/10/block-words_p01_hyp-16_10_0,1,21,16
blocks-world/10/block-words_p01_hyp-16_10_1,1,21,18
blocks-world/10/block-words_p01_hyp-16_10_2,1,21,16
blocks-world/10/block-words_p01_hyp-17_10_0,1,21,17
blocks-world/10/block-words_p01_hyp-17_10_1,1,21,7
blocks-world/10/block-words_p01_hyp-17_10_2,1,21,7
blocks-world/10/block-words_p01_hyp-18_10_0,1,21,18
blocks-world/10/block-words_p01_hyp-18_10_1,1,21,18
blocks-world/10/block-words_p01_hyp-18_10_2,1,21,18
blocks-world/10/block-words_p01_hyp-19_10_0,1,21,18
blocks-world/10/block-words_p01_hyp-19_10_1,1,21,19
blocks-world/10/block-words_p01_hyp-19_10_2,1,21,18
blocks-world/10/block-words_p01_hyp-1_10_0,1,21,1
blocks-world/10/block-words_p01_hyp-1_10_1,1,21,0
blocks-world/10/block-words_p01_hyp-1_10_2,1,21,1
blocks-world/10/block-words_p01_hyp-20_10_0,1,21,18
blocks-world/10/block-words_p01_hyp-20_10_1,1,21,18
blocks-world/10/block-words_p01_hyp-20_10_2,1,21,20
blocks-world/10/block-words_p01_hyp-2_10_0,1,21,2
blocks-world/10/block-words_p01_hyp-2_10_1,1,21,2
blocks-world/10/block-words_p01_hyp-2_10_2,1,21,2
blocks-world/10/block-words_p01_hyp-3_10_0,1,21,4
blocks-world/10/block-words_p01_hyp-3_10_1,1,21,3
blocks-world/10/block-words_p01_hyp-3_10_2,1,21,3
blocks-world/10/block-words_p01_hyp-4_10_0,1,21,4
blocks-world/10/block-words_p01_hyp-4_10_1,1,21,4
blocks-world/10/block-words_p01_hyp-4_10_2,1,21,4
blocks-world/10/block-words_p01_hyp-5_10_0,1,21,5
blocks-world/10/block-words_p01_hyp-5_10_1,1,21,5
blocks-world/10/block-words_p01_hyp-5_10_2,1,21,5
blocks-world/10/block-words_p01_hyp-6_10_0,1,21,5
blocks-world/10/block-words_p01_hyp-6_10_1,1,21,6
blocks-world/10/block-words_p01_hyp-6_10_2,1,21,6
blocks-world/10/block-words_p01_hyp-7_10_0,1,21,7
blocks-world/10/block-words_p01_hyp-7_10_1,1,21,5
blocks-world/10/block-words_p01_hyp-7_10_2,1,21,7
blocks-world/10/block-words_p01_hyp-8_10_0,1,21,8
blocks-world/10/block-words_p01_hyp-8_10_1,1,21,7
blocks-world/10/block-words_p01_hyp-8_10_2,1,21,5
blocks-world/10/block-words_p01_hyp-9_10_0,1,21,9
blocks-world/10/block-words_p01_hyp-9_10_1,1,21,5
blocks-world/10/block-words_p01_hyp-9_10_2,1,21,7
blocks-world/10/block-words_p02_hyp-0_10_0,1,20,0
blocks-world/10/block-words_p02_hyp-0_10_1,1,20,0
blocks-world/10/block-words_p02_hyp-0_10_2,1,20,0
blocks-world/10/block-words_p02_hyp-10_10_0,1,20,10
blocks-world/10/block-words_p02_hyp-10_10_1,1,20,10
blocks-world/10/block-words_p02_hyp-10_10_2,1,20,10
blocks-world/10/block-words_p02_hyp-11_10_0,2,20,11
blocks-world/10/block-words_p02_hyp-11_10_1,1,20,12
blocks-world/10/block-words_p02_hyp-11_10_2,2,20,11
blocks-world/10/block-words_p02_hyp-12_10_0,1,20,12
blocks-world/10/block-words_p02_hyp-12_10_1,1,20,12
blocks-world/10/block-words_p02_hyp-12_10_2,1,20,12
blocks-world/10/block-words_p02_hyp-13_10_0,1,20,13
blocks-world/10/block-words_p02_hyp-13_10_1,1,20,13
blocks-world/10/block-words_p02_hyp-13_10_2,1,20,13
blocks-world/10/block-words_p02_hyp-14_10_0,1,20,14
blocks-world/10/block-words_p02_hyp-14_10_1,1,20,14
blocks-world/10/block-words_p02_hyp-14_10_2,1,20,14
blocks-world/10/block-words_p02_hyp-15_10_0,1,20,15
blocks-world/10/block-words_p02_hyp-15_10_1,1,20,15
blocks-world/10/block-words_p02_hyp-15_10_2,1,20,15
blocks-world/10/block-words_p02_hyp-16_10_0,1,20,16
blocks-world/10/block-words_p02_hyp-16_10_1,1,20,16
blocks-world/10/block-words_p02_hyp-16_10_2,1,20,16
blocks-world/10/block-words_p02_hyp-17_10_0,1,20,17
blocks-world/10/block-words_p02_hyp-17_10_1,1,20,17
blocks-world/10/block-words_p02_hyp-17_10_2,1,20,17
blocks-world/10/block-words_p02_hyp-18_10_0,1,20,18
blocks-world/10/block-words_p02_hyp-18_10_1,1,20,18
blocks-world/10/block-words_p02_hyp-18_10_2,1,20,18
blocks-world/10/block-words_p02_hyp-19_10_0,1,20,19
blocks-world/10/block-words_p02_hyp-19_10_1,1,20,19
blocks-world/10/block-words_p02_hyp-19_10_2,1,20,19
blocks-world/10/block-words_p02_hyp-1_10_0,2,20,1
blocks-world/10/block-words_p02_hyp-1_10_1,2,20,1
blocks-world/10/block-words_p02_hyp-1_10_2,1,20,2
